park_id,park_name,latitude,longitude,park_type,management_priority,acres,golf_availability,soccer_availability,memorial_availability,gym_availability,shade_area_availability,volleyball_availability,swimming_pool_availability,tennis_availability,playground_availability,baseball_availability,recreation_center_availability,basketball_availability,garden_center_availability,parking_lot_availability,facility_total,visits_2019,origin_breadth_2019,visits_per_acre_2019,visits_2020,origin_breadth_2020,visits_per_acre_2020,visits_2021,origin_breadth_2021,visits_per_acre_2021
park-a-b-dittmar-neighborhood-park,A B Dittmar Neighborhood Park,30.18257,-97.79989,Neighborhood,Mixed-use Park,16.185,None,None,None,Low,None,None,Low,None,Low,None,Low,None,None,Low,5,844.431812,618,52.17373,588.573969,456,36.365398,432.135578,372,26.699758
park-adams-hemphill-neighborhood-park,Adams Hemphill Neighborhood Park,30.29463,-97.73882,Neighborhood,Not available,9.31,None,None,None,None,None,None,None,None,Low,Low,None,Low,None,None,3,471.016828,475,50.59257,276.905321,297,29.742784,279.921244,298,30.066729
park-alamo-pocket-park,Alamo Pocket Park,30.28254,-97.7203,Pocket,Active Park,1.873,None,None,None,None,None,None,None,None,Low,None,Low,None,None,Low,3,81.860859,172,43.705744,35.366313,99,18.882175,36.3768,98,19.421676
park-alderbrook-pocket-park,Alderbrook Pocket Park,30.4147,-97.6973,Pocket,Active Park,1.9,None,None,None,None,None,None,None,None,Low,None,None,None,None,None,2,312.581082,390,164.516359,96.436979,194,50.756305,195.498782,256,102.894096
park-alexander-neighborhood-park,Alexander Neighborhood Park,30.27969,-97.70828,Neighborhood,Mixed-use Park,7.92,None,None,None,None,None,None,None,None,None,None,None,None,Low,None,3,77.835473,171,9.827711,31.198611,101,3.939219,36.604238,101,4.621747
park-andrews-school-park,Andrews School Park,30.31748,-97.679,School,Active Park,3.27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,32.700653,104,10.0002,19.113274,70,5.845038,16.155056,64,4.940384
park-ann-and-roy-butler-hike-and-bike-riverside-easement-trail,Ann And Roy Butler Hike And Bike Riverside Easement Trail,30.26136,-97.74721,Metropolitan,Mixed-use Park,48.58,Low,None,High,None,None,None,None,None,None,None,None,None,None,Medium,42,2595.244547,1062,53.422078,1239.157297,637,25.507561,1352.211296,613,27.834732
park-archstone-greenbelt-archstone,Archstone Greenbelt Archstone,30.2324,-97.83294,Pocket,Natural Area,0.53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,257.200274,291,485.283536,169.685364,237,320.161064,194.683915,226,367.328142
park-armadillo-neighborhood-park,Armadillo Neighborhood Park,30.19974,-97.79077,Neighborhood,Passive Park,3.045,None,None,None,None,None,None,None,None,None,None,None,None,None,Low,1,60.109051,134,19.740247,183.396337,218,60.228682,37.992599,78,12.477044
park-astor-place-pocket-park,Astor Place Pocket Park,30.284694,-97.687148,Greenbelt,Natural Area,1.442,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,12.124359,51,8.408016,3.683951,21,2.554751,6.185798,26,4.289735
